choir_sec,musescore_sec
0.0,0.0
2.972154195011338,3.111473922902494
5.851428571428571,5.804988662131519
8.916462585034013,8.870022675736962
12.120816326530612,11.842176870748299
15.046530612244897,14.907210884353741
18.3437641723356,18.06512471655329
21.640997732426303,21.31591836734694
24.14875283446712,23.684353741496597
27.30666666666667,26.888707482993198
30.139501133786847,29.53578231292517
33.158095238095235,32.55437641723356
36.31600907029478,35.34077097505669
39.334603174603174,38.49868480725623
42.21387755102041,41.33151927437642
45.09315192743764,44.257233560090704
47.55446712018141,46.76498866213152
50.43374149659864,49.13342403628118
53.498775510204084,52.15201814058957
56.563809523809525,55.12417233560091
59.48952380952381,58.049886621315196
62.18303854875283,60.65052154195011
65.24807256235827,63.48335600907029
68.12734693877552,66.36263038548753
71.3317006802721,69.52054421768707
74.62893424036281,72.3998185941043
77.41532879818594,75.27909297052155
80.29460317460317,78.06548752834468
83.17387755102041,80.80544217687074
86.2853514739229,83.82403628117913
89.35038548752834,86.88907029478457
92.36897959183673,89.53614512471655
95.38757369614513,92.55473922902495
98.49904761904762,95.29469387755103
101.65696145124717,98.40616780045352
104.67555555555556,101.09968253968253
107.50839002267574,103.97895691609978
110.7591836734694,106.858231292517
113.77777777777777,109.83038548752835
116.84281179138323,112.75609977324262
119.6756462585034,115.4960544217687
122.83356009070295,118.46820861678005
125.94503401360544,121.53324263038549
128.96362811791383,124.50539682539683
131.79646258503402,127.29179138321996
134.8150566893424,130.03174603174602
137.88009070294785,133.05034013605442
140.99156462585034,136.0689342403628
144.10303854875283,139.1804081632653
147.21451247165533,142.24544217687074
150.37242630385487,145.17115646258503
152.92662131519273,148.00399092970522
155.94521541950112,150.8368253968254
158.87092970521542,153.48390022675736
161.7966439909297,156.40961451247165
164.67591836734695,159.24244897959184
167.36943310657597,161.9824036281179
170.38802721088436,164.76879818594105
173.59238095238095,168.0195918367347
176.51809523809524,170.89886621315193
179.2580498866213,173.638820861678
182.46240362811793,175.96081632653062
184.2271201814059,178.5150113378685
187.1528344671202,181.44072562358278
190.31074829931973,184.08780045351475
193.00426303854874,186.9206349206349
196.02285714285713,189.79990929705215
198.90213151927438,192.81850340136054
202.24580498866214,196.06929705215418
205.35727891156463,199.2736507936508
208.32943310657598,202.15292517006802
211.3015873015873,205.03219954648526
214.18086167800453,207.40063492063493
216.7350566893424,210.18702947845804
219.7536507936508,213.25206349206348
222.2614058956916,216.40997732426302
224.07256235827666,219.24281179138322
226.0694784580499,221.75056689342404
228.80943310657597,222.95800453514738
229.69179138321996,226.0694784580499
229.7100680272109,226.09401360544217
